,date,DOHOL,THYAO
221,2020-01-07 17:01:25.000000060,-1.0,1.0
222,2020-01-07 17:33:23.707000010,-1.0,1.0
223,2020-01-07 17:39:49.859000120,1.0,0.0
224,2020-01-07 17:40:04.346000020,-1.0,-1.0
225,2020-01-07 17:43:08.728000100,1.0,-1.0
226,2020-01-07 17:45:08.703000040,-1.0,-1.0
227,2020-01-08 10:00:11.014000090,-1.0,1.0
228,2020-01-08 10:01:14.430000010,-1.0,0.0
229,2020-01-08 10:01:17.715000050,1.0,0.0
230,2020-01-08 10:01:23.506000060,-1.0,1.0
231,2020-01-08 10:01:33.770000140,1.0,0.0
232,2020-01-08 10:01:34.783000030,-1.0,-1.0
233,2020-01-08 10:01:41.992000020,1.0,1.0
234,2020-01-08 10:02:08.974000030,1.0,1.0
235,2020-01-08 10:06:53.653000050,1.0,1.0
236,2020-01-08 10:16:10.383000050,-1.0,1.0
237,2020-01-08 10:26:13.981000020,1.0,-1.0
238,2020-01-08 10:37:41.543000050,-1.0,-1.0
239,2020-01-08 10:39:44.537000020,1.0,1.0
240,2020-01-08 10:43:59.237000010,-1.0,1.0
241,2020-01-08 10:44:13.084000030,1.0,-1.0
242,2020-01-08 11:08:09.095000060,-1.0,-1.0
243,2020-01-08 11:35:58.634000060,-1.0,-1.0
244,2020-01-08 11:36:24.307000040,1.0,1.0
245,2020-01-08 11:36:35.929000070,-1.0,1.0
246,2020-01-08 11:49:22.814000010,1.0,1.0
247,2020-01-08 13:08:44.097000030,1.0,-1.0
248,2020-01-08 13:35:46.760000020,-1.0,-1.0
249,2020-01-08 14:01:03.180000020,1.0,1.0
250,2020-01-08 14:32:38.345000040,-1.0,1.0
251,2020-01-08 14:35:00.537000010,1.0,1.0
252,2020-01-08 14:36:26.434000010,-1.0,0.0
253,2020-01-08 14:37:02.894000020,1.0,-1.0
254,2020-01-08 14:37:48.419000100,-1.0,0.0
255,2020-01-08 14:37:50.435000010,1.0,1.0
256,2020-01-08 14:38:31.888000050,-1.0,0.0
257,2020-01-08 14:38:35.887000030,1.0,-1.0
258,2020-01-08 14:43:19.016000050,-1.0,0.0
259,2020-01-08 14:43:20.423000010,1.0,0.0
260,2020-01-08 14:44:09.007000030,-1.0,0.0
261,2020-01-08 14:44:29.167000010,1.0,-1.0
262,2020-01-08 14:44:42.718000020,-1.0,0.0
263,2020-01-08 14:44:45.038000030,1.0,0.0
264,2020-01-08 14:45:52.901000070,-1.0,-1.0
265,2020-01-08 14:47:03.036000010,1.0,0.0
266,2020-01-08 14:47:06.063000010,1.0,0.0
267,2020-01-08 14:47:08.684000030,-1.0,0.0
268,2020-01-08 14:47:12.115000000,1.0,1.0
269,2020-01-08 14:48:32.617000040,-1.0,1.0
270,2020-01-08 14:48:56.909000020,1.0,1.0
271,2020-01-08 14:49:58.799000040,-1.0,0.0
272,2020-01-08 14:50:23.042000000,1.0,1.0
273,2020-01-08 14:54:46.926000030,-1.0,1.0
274,2020-01-08 14:54:48.344000010,1.0,-1.0
275,2020-01-08 14:55:09.033000000,-1.0,0.0
276,2020-01-08 14:55:26.455000010,1.0,0.0
277,2020-01-08 14:55:33.508000010,1.0,1.0
278,2020-01-08 14:56:03.127000030,-1.0,0.0
279,2020-01-08 14:56:25.860000010,1.0,-1.0
280,2020-01-08 14:58:55.900000030,-1.0,0.0
281,2020-01-08 14:58:56.122000050,1.0,0.0
282,2020-01-08 14:59:03.465000070,1.0,0.0
283,2020-01-08 15:00:40.436000020,-1.0,-1.0
284,2020-01-08 15:01:02.409000070,1.0,0.0
285,2020-01-08 15:01:15.222000010,-1.0,0.0
286,2020-01-08 15:01:22.573000020,1.0,0.0
287,2020-01-08 15:02:25.306000020,-1.0,0.0
288,2020-01-08 15:02:52.325000000,1.0,1.0
289,2020-01-08 15:06:12.373000020,-1.0,1.0
290,2020-01-08 15:06:22.688000000,1.0,1.0
291,2020-01-08 15:38:14.429000070,-1.0,-1.0
292,2020-01-08 16:24:25.865000510,1.0,-1.0
293,2020-01-08 16:25:29.837000020,-1.0,0.0
294,2020-01-08 16:25:30.748000010,1.0,1.0
295,2020-01-08 16:33:15.952000020,-1.0,1.0
296,2020-01-08 17:12:07.847000050,-1.0,1.0
297,2020-01-08 17:13:09.991000100,-1.0,-1.0
298,2020-01-08 17:15:03.348000020,1.0,0.0
299,2020-01-08 17:15:03.443000010,-1.0,0.0
300,2020-01-08 17:15:03.551000020,1.0,0.0
301,2020-01-08 17:15:04.842000030,-1.0,0.0
302,2020-01-08 17:15:06.195000000,1.0,-1.0
303,2020-01-08 17:15:10.757000010,-1.0,0.0
304,2020-01-08 17:15:11.605000050,1.0,0.0
305,2020-01-08 17:15:14.503000030,-1.0,0.0
306,2020-01-08 17:15:16.734000010,1.0,0.0
307,2020-01-08 17:15:17.246000050,-1.0,-1.0
308,2020-01-08 17:15:22.829000020,1.0,1.0
309,2020-01-08 17:23:07.512000040,-1.0,1.0
310,2020-01-08 17:26:31.057000170,1.0,-1.0
311,2020-01-08 17:26:47.833000530,-1.0,0.0
312,2020-01-08 17:26:48.860000020,1.0,0.0
313,2020-01-08 17:26:49.468000050,-1.0,0.0
314,2020-01-08 17:26:49.772000130,1.0,1.0
315,2020-01-08 17:59:23.005000070,1.0,0.0
316,2020-01-08 17:59:36.723000050,-1.0,-1.0
317,2020-01-09 10:01:11.604000030,1.0,1.0
318,2020-01-09 10:06:04.772000030,-1.0,-1.0
319,2020-01-09 10:09:48.323000020,1.0,0.0
320,2020-01-09 10:09:49.240000040,-1.0,1.0
321,2020-01-09 10:10:00.406000010,1.0,1.0
322,2020-01-09 10:10:25.960000010,-1.0,-1.0
323,2020-01-09 10:17:18.515000060,1.0,-1.0
324,2020-01-09 10:17:25.885000010,-1.0,-1.0
325,2020-01-09 10:17:55.569000020,1.0,1.0
326,2020-01-09 10:18:40.713000020,-1.0,0.0
327,2020-01-09 10:18:41.930000010,1.0,0.0
328,2020-01-09 10:18:42.133000100,-1.0,0.0
329,2020-01-09 10:18:46.342000130,1.0,1.0
330,2020-01-09 10:43:13.484000020,1.0,0.0
331,2020-01-09 10:43:39.911000020,-1.0,-1.0
332,2020-01-09 11:04:13.073000030,1.0,-1.0
333,2020-01-09 11:04:20.880000070,-1.0,0.0
334,2020-01-09 11:04:32.554000030,1.0,-1.0
335,2020-01-09 11:05:06.012000010,-1.0,-1.0
336,2020-01-09 11:05:21.385000030,1.0,0.0
337,2020-01-09 11:05:22.184000020,-1.0,-1.0
338,2020-01-09 11:52:57.946000020,1.0,-1.0
339,2020-01-09 11:54:58.285000080,1.0,1.0
340,2020-01-09 11:56:06.548000040,1.0,0.0
341,2020-01-09 11:56:49.359000110,1.0,1.0
342,2020-01-09 11:59:02.365000010,-1.0,-1.0
343,2020-01-09 11:59:43.494000060,1.0,1.0
344,2020-01-09 12:01:45.605000060,-1.0,0.0
345,2020-01-09 12:01:53.291000070,1.0,-1.0
346,2020-01-09 12:04:27.318000030,-1.0,0.0
347,2020-01-09 12:04:27.925000010,1.0,0.0
348,2020-01-09 12:04:32.062000040,-1.0,0.0
349,2020-01-09 12:04:36.002000030,-1.0,0.0
350,2020-01-09 12:04:37.820000030,1.0,1.0
351,2020-01-09 12:04:56.201000010,-1.0,0.0
352,2020-01-09 12:04:57.131000010,-1.0,0.0
353,2020-01-09 12:04:59.871000010,1.0,1.0
354,2020-01-09 12:32:07.305000020,-1.0,0.0
355,2020-01-09 12:33:07.018000020,1.0,0.0
356,2020-01-09 12:33:09.747000060,-1.0,0.0
357,2020-01-09 12:33:09.849000070,1.0,0.0
358,2020-01-09 12:33:36.240000090,-1.0,0.0
359,2020-01-09 12:33:38.116000020,1.0,-1.0
360,2020-01-09 12:50:54.642000050,1.0,-1.0
361,2020-01-09 12:51:56.942000050,1.0,1.0
362,2020-01-09 13:01:00.523000020,-1.0,-1.0
363,2020-01-09 13:05:45.426000050,1.0,1.0
364,2020-01-09 13:24:53.784000010,-1.0,0.0
365,2020-01-09 13:24:55.448000240,1.0,0.0
366,2020-01-09 13:25:11.879000020,-1.0,0.0
367,2020-01-09 13:25:12.788000010,1.0,0.0
368,2020-01-09 13:25:13.393000020,-1.0,0.0
369,2020-01-09 13:25:21.180000020,1.0,1.0
370,2020-01-09 13:27:08.645000010,-1.0,0.0
371,2020-01-09 13:27:10.768000020,1.0,-1.0
372,2020-01-09 13:29:19.973000040,-1.0,0.0
373,2020-01-09 13:29:20.495000000,1.0,0.0
374,2020-01-09 13:30:09.677000090,-1.0,0.0
375,2020-01-09 13:30:24.428000020,-1.0,0.0
376,2020-01-09 13:30:26.035000010,1.0,0.0
377,2020-01-09 13:30:34.329000010,-1.0,0.0
378,2020-01-09 13:30:41.812000030,1.0,0.0
379,2020-01-09 13:30:43.441000000,-1.0,-1.0
380,2020-01-09 14:55:37.455000020,-1.0,-1.0
381,2020-01-09 14:56:42.440000030,1.0,1.0
382,2020-01-09 15:10:35.913000050,-1.0,-1.0
383,2020-01-09 16:11:00.483000010,1.0,-1.0
384,2020-01-09 17:58:26.626000010,1.0,-1.0
385,2020-01-10 10:00:07.682000090,1.0,1.0
386,2020-01-10 10:02:12.656000110,1.0,1.0
387,2020-01-10 10:03:10.196000180,-1.0,-1.0
388,2020-01-10 10:10:49.157000060,1.0,-1.0
389,2020-01-10 10:16:31.937000110,-1.0,-1.0
390,2020-01-10 10:28:22.073000050,-1.0,1.0
391,2020-01-10 10:30:00.409000150,1.0,1.0
392,2020-01-10 10:39:31.458000010,-1.0,0.0
393,2020-01-10 10:39:44.326000010,1.0,-1.0
394,2020-01-10 10:39:50.506000230,-1.0,1.0
395,2020-01-10 10:40:04.496000140,1.0,1.0
396,2020-01-10 10:49:27.480000040,-1.0,1.0
397,2020-01-10 10:55:05.968000010,-1.0,-1.0
398,2020-01-10 10:55:18.827000050,1.0,1.0
399,2020-01-10 11:20:30.604000380,1.0,1.0
400,2020-01-10 11:28:26.503000010,-1.0,-1.0
401,2020-01-10 11:39:30.410000040,-1.0,1.0
402,2020-01-10 11:39:56.136000330,1.0,1.0
403,2020-01-10 11:39:59.704000030,-1.0,-1.0
404,2020-01-10 11:40:15.775000100,1.0,1.0
405,2020-01-10 11:42:37.479000010,-1.0,-1.0
406,2020-01-10 11:43:26.581000010,1.0,1.0
407,2020-01-10 11:45:38.344000020,1.0,1.0
