date,DOHOL,THYAO
2020-01-08 14:36:26.434000010,-1,0
2020-01-08 14:37:02.893000010,1,0
2020-01-08 14:37:02.894000020,1,-1
2020-01-08 14:37:48.419000100,-1,0
2020-01-08 14:37:50.435000010,1,1
2020-01-08 14:38:31.888000050,-1,0
2020-01-08 14:38:35.887000030,1,-1
2020-01-08 14:43:19.016000050,-1,0
2020-01-08 14:43:20.423000010,1,0
2020-01-08 14:44:09.007000030,-1,0
2020-01-08 14:44:29.167000010,1,-1
2020-01-08 14:44:42.718000020,-1,0
2020-01-08 14:44:45.038000030,1,0
2020-01-08 14:45:52.901000040,-1,0
2020-01-08 14:45:52.901000070,-1,-1
2020-01-08 14:47:03.036000010,1,0
2020-01-08 14:47:06.063000010,1,0
2020-01-08 14:47:08.684000030,-1,0
2020-01-08 14:47:12.115000000,1,1
2020-01-08 14:48:32.617000040,-1,1
2020-01-08 14:48:56.909000020,1,1
2020-01-08 14:49:58.799000040,-1,0
2020-01-08 14:50:23.042000000,1,1
2020-01-08 14:54:46.926000030,-1,1
2020-01-08 14:54:48.344000010,1,-1
2020-01-08 14:55:09.033000000,-1,0
2020-01-08 14:55:26.455000010,1,0
2020-01-08 14:55:33.508000010,1,1
2020-01-08 14:56:03.127000030,-1,0
2020-01-08 14:56:25.860000010,1,-1
2020-01-08 14:58:55.900000030,-1,0
2020-01-08 14:58:56.122000050,1,0
2020-01-08 14:59:03.465000070,1,0
2020-01-08 15:00:40.421000020,-1,0
2020-01-08 15:00:40.436000020,-1,-1
2020-01-08 15:01:02.409000070,1,0
2020-01-08 15:01:15.222000010,-1,0
2020-01-08 15:01:22.573000020,1,0
2020-01-08 15:02:25.306000020,-1,0
2020-01-08 15:02:52.325000000,1,1
2020-01-08 15:06:12.373000020,-1,1
2020-01-08 15:06:22.688000000,1,1
2020-01-08 15:38:14.429000070,-1,-1
2020-01-08 16:24:25.865000510,1,-1
2020-01-08 16:25:29.837000020,-1,0
2020-01-08 16:25:30.748000010,1,1
2020-01-08 16:33:15.952000020,-1,1
2020-01-08 17:12:07.832000100,-1,0
2020-01-08 17:12:07.847000050,-1,1
2020-01-08 17:13:09.991000060,-1,0
2020-01-08 17:13:09.991000100,-1,-1
2020-01-08 17:15:03.348000020,1,0
2020-01-08 17:15:03.443000010,-1,0
2020-01-08 17:15:03.551000020,1,0
2020-01-08 17:15:04.842000030,-1,0
2020-01-08 17:15:06.195000000,1,-1
2020-01-08 17:15:10.552000010,-1,0
2020-01-08 17:15:10.757000010,-1,0
2020-01-08 17:15:11.605000050,1,0
2020-01-08 17:15:14.503000030,-1,0
2020-01-08 17:15:16.734000010,1,0
2020-01-08 17:15:16.837000080,-1,0
2020-01-08 17:15:17.246000050,-1,-1
2020-01-08 17:15:22.829000020,1,1
2020-01-08 17:23:07.512000040,-1,1
2020-01-08 17:26:31.057000170,1,-1
2020-01-08 17:26:47.833000530,-1,0
2020-01-08 17:26:48.860000020,1,0
2020-01-08 17:26:49.468000050,-1,0
2020-01-08 17:26:49.772000130,1,1
2020-01-08 17:59:23.005000040,1,0
2020-01-08 17:59:23.005000070,1,0
2020-01-08 17:59:36.723000050,-1,-1
2020-01-09 10:01:11.583000050,1,0
2020-01-09 10:01:11.604000030,1,1
2020-01-09 10:06:04.772000030,-1,-1
2020-01-09 10:09:48.323000020,1,0
2020-01-09 10:09:49.240000040,-1,1
2020-01-09 10:10:00.406000010,1,1
2020-01-09 10:10:25.960000010,-1,-1
2020-01-09 10:17:18.515000060,1,-1
2020-01-09 10:17:25.885000010,-1,-1
2020-01-09 10:17:55.569000020,1,1
2020-01-09 10:18:40.713000020,-1,0
2020-01-09 10:18:41.930000010,1,0
2020-01-09 10:18:42.133000100,-1,0
2020-01-09 10:18:46.342000130,1,1
