symbol_pvc,p_value_chi2,symbol_pvfe,p_value_fisher_exact,symbol_as,accuracy_score,symbol_ars,adjusted_rand_score,symbol_mc,matthews_corrcoef,symbol_mis,mutual_info_score
"('TAVHL', 'KOZAA')",1.1468147779088098e-29,"('TUPRS', 'ISCTR')",2.35715276618836e-30,"('TAVHL', 'EREGL')",0.11731226932496301,"('SODA', 'TTKOM')",0.0010174711378470001,"('SAHOL', 'SISE')",0.036664482504418,"('TOASO', 'VAKBN')",0.0025554566643710003
"('TUPRS', 'TTKOM')",1.5912304337034998e-29,"('KCHOL', 'ISCTR')",2.4409590557130197e-30,"('TKFEN', 'ARCLK')",0.117808042063526,"('AKBNK', 'FROTO')",0.001020165590555,"('SISE', 'TOASO')",0.036692881152132005,"('VAKBN', 'PETKM')",0.002579830243519
"('ISCTR', 'SISE')",1.7608339868911397e-29,"('TAVHL', 'AKBNK')",4.7001429580725695e-30,"('AKBNK', 'TUPRS')",0.11791574012861399,"('THYAO', 'TAVHL')",0.0010205472489389997,"('SODA', 'KOZAA')",0.037000027163141,"('SODA', 'TOASO')",0.002581219750807
"('VAKBN', 'SISE')",2.58902571194778e-29,"('ISCTR', 'TOASO')",5.6113487842967595e-30,"('TKFEN', 'TCELL')",0.11820880113563001,"('TSKB', 'SODA')",0.001025232605083,"('SISE', 'TAVHL')",0.037136895806834,"('TKFEN', 'KCHOL')",0.002583732491767
"('KCHOL', 'ISCTR')",3.669367477279529e-29,"('SAHOL', 'KOZAA')",6.61670972753872e-30,"('PGSUS', 'TKFEN')",0.11875375803031697,"('DOHOL', 'TSKB')",0.0010272859822360002,"('KRDMD', 'TUPRS')",0.037139676061160004,"('DOHOL', 'ISCTR')",0.0026152653504559996
"('ISCTR', 'TOASO')",5.04642451940607e-29,"('FROTO', 'EREGL')",9.007274559290581e-30,"('FROTO', 'TTKOM')",0.11895619465559101,"('TKFEN', 'GARAN')",0.0010311131512250001,"('SODA', 'KRDMD')",0.03738267508547,"('SODA', 'KRDMD')",0.0026225601242360003
"('KRDMD', 'EREGL')",5.42772013572387e-29,"('TAVHL', 'VAKBN')",9.520856551607999e-30,"('SISE', 'SODA')",0.11900497512437799,"('THYAO', 'KCHOL')",0.001032788655248,"('SAHOL', 'KRDMD')",0.037454314021316,"('FROTO', 'TTKOM')",0.0026585195673389994
"('KOZAA', 'VAKBN')",6.04548588890476e-29,"('TUPRS', 'TAVHL')",1.27719807169929e-29,"('TTKOM', 'ISCTR')",0.119229045271179,"('SISE', 'GARAN')",0.0010341261325469999,"('EREGL', 'KRDMD')",0.037506050810092006,"('ISCTR', 'BIMAS')",0.0026677233481890005
"('AKBNK', 'TAVHL')",6.206429119682189e-29,"('HALKB', 'ARCLK')",1.50140821399497e-29,"('SISE', 'EREGL')",0.11931535476166802,"('DOHOL', 'ASELS')",0.001058847207205,"('TSKB', 'VAKBN')",0.037622832480769995,"('TAVHL', 'ASELS')",0.002671531524808
"('FROTO', 'EREGL')",6.4905682218691e-29,"('PGSUS', 'HALKB')",1.9295156732288297e-29,"('TUPRS', 'VAKBN')",0.119495343947131,"('SISE', 'TAVHL')",0.0010674080549159999,"('ASELS', 'KRDMD')",0.037645520105474,"('ASELS', 'KOZAA')",0.002676368928422
"('TAVHL', 'VAKBN')",8.32617709191962e-29,"('AKBNK', 'TAVHL')",2.60978615919331e-29,"('KCHOL', 'SAHOL')",0.11973609187912401,"('SISE', 'TOASO')",0.001067561962399,"('KCHOL', 'KOZAA')",0.037663918445817,"('KCHOL', 'ISCTR')",0.002680067157136
"('TUPRS', 'TAVHL')",1.7990183132414199e-28,"('KOZAA', 'VAKBN')",2.8031152601837e-29,"('KCHOL', 'TTKOM')",0.11998045125030499,"('ASELS', 'KOZAL')",0.001073456519101,"('PGSUS', 'THYAO')",0.037679616386196,"('BIMAS', 'TKFEN')",0.002684607025814
"('FROTO', 'PGSUS')",2.25458339806505e-28,"('TTKOM', 'KOZAL')",4.1852885038868394e-29,"('TCELL', 'ASELS')",0.120566704531112,"('TAVHL', 'ASELS')",0.001076265851601,"('BIMAS', 'PGSUS')",0.037684848466049,"('SISE', 'ISCTR')",0.002689121549029
