,date,AKBNK,ARCLK
225,2020-01-02 10:13:08.568000280,-1.0,0.0
226,2020-01-02 10:13:10.593000190,-1.0,-1.0
227,2020-01-02 10:17:24.410000030,1.0,0.0
228,2020-01-02 10:17:24.410000090,1.0,-1.0
229,2020-01-02 10:19:30.157000200,1.0,0.0
230,2020-01-02 10:19:30.157000260,1.0,-1.0
231,2020-01-02 10:27:18.130000180,1.0,0.0
232,2020-01-02 10:27:18.130000210,1.0,-1.0
233,2020-01-02 10:27:46.145000210,1.0,0.0
234,2020-01-02 10:27:46.145000260,1.0,0.0
235,2020-01-02 10:28:03.535000130,1.0,0.0
236,2020-01-02 10:28:03.535000180,1.0,-1.0
237,2020-01-02 10:45:09.755000020,1.0,0.0
238,2020-01-02 10:45:09.755000070,1.0,0.0
239,2020-01-02 10:45:19.370000050,-1.0,0.0
240,2020-01-02 10:45:19.370000080,-1.0,0.0
241,2020-01-02 10:45:39.052000230,1.0,0.0
242,2020-01-02 10:46:22.295000320,-1.0,-1.0
243,2020-01-02 10:51:35.143000150,1.0,0.0
244,2020-01-02 10:52:02.028000240,-1.0,1.0
245,2020-01-02 10:58:51.867000050,1.0,0.0
246,2020-01-02 10:58:51.867000090,1.0,0.0
247,2020-01-02 10:58:58.532000140,-1.0,-1.0
248,2020-01-02 11:00:41.517000160,1.0,0.0
249,2020-01-02 11:00:41.517000190,1.0,0.0
250,2020-01-02 11:00:41.720000200,-1.0,-1.0
251,2020-01-02 11:00:49.197000010,-1.0,-1.0
252,2020-01-02 11:34:29.196000120,1.0,0.0
253,2020-01-02 11:34:29.196000170,1.0,-1.0
254,2020-01-02 11:35:03.392000230,1.0,0.0
255,2020-01-02 11:35:03.492000210,-1.0,0.0
256,2020-01-02 11:35:03.492000240,-1.0,0.0
257,2020-01-02 11:35:03.899000040,1.0,0.0
258,2020-01-02 11:35:03.899000070,1.0,0.0
259,2020-01-02 11:35:04.708000160,-1.0,1.0
260,2020-01-02 11:35:22.826000220,-1.0,0.0
261,2020-01-02 11:35:26.676000250,1.0,0.0
262,2020-01-02 11:35:26.778000200,-1.0,0.0
263,2020-01-02 11:35:26.778000240,-1.0,0.0
264,2020-01-02 11:35:31.238000230,1.0,0.0
265,2020-01-02 11:35:31.238000260,1.0,-1.0
266,2020-01-02 11:36:26.143000140,-1.0,0.0
267,2020-01-02 11:36:26.244000430,1.0,1.0
268,2020-01-02 11:36:26.347000310,-1.0,0.0
269,2020-01-02 11:36:27.360000260,1.0,0.0
270,2020-01-02 11:36:27.461000150,-1.0,0.0
271,2020-01-02 11:36:31.605000160,1.0,0.0
272,2020-01-02 11:36:32.110000190,1.0,0.0
273,2020-01-02 11:36:34.026000140,-1.0,0.0
274,2020-01-02 11:36:34.026000170,-1.0,0.0
275,2020-01-02 11:36:38.783000140,1.0,0.0
276,2020-01-02 11:36:38.783000180,1.0,1.0
277,2020-01-02 11:47:36.057000250,1.0,0.0
278,2020-01-02 11:47:36.159000140,-1.0,1.0
279,2020-01-02 11:51:45.400000100,1.0,0.0
280,2020-01-02 11:51:45.400000130,1.0,0.0
281,2020-01-02 11:51:45.903000100,-1.0,-1.0
282,2020-01-02 11:51:54.897000060,1.0,1.0
283,2020-01-02 11:52:15.304000010,-1.0,-1.0
284,2020-01-02 11:52:17.123000000,1.0,-1.0
285,2020-01-02 11:52:30.637000050,-1.0,0.0
286,2020-01-02 11:52:32.158000160,-1.0,1.0
287,2020-01-02 11:53:13.777000150,1.0,1.0
288,2020-01-02 11:53:16.599000250,-1.0,-1.0
289,2020-01-02 11:53:35.074000030,1.0,0.0
290,2020-01-02 11:53:35.074000060,1.0,0.0
291,2020-01-02 11:53:35.276000280,-1.0,0.0
292,2020-01-02 11:53:35.480000240,-1.0,1.0
293,2020-01-02 11:54:00.520000200,1.0,0.0
294,2020-01-02 11:54:02.135000130,-1.0,0.0
295,2020-01-02 11:54:19.788000230,1.0,0.0
296,2020-01-02 11:54:20.194000190,-1.0,-1.0
297,2020-01-02 11:54:25.667000090,1.0,0.0
298,2020-01-02 11:54:31.224000150,-1.0,-1.0
299,2020-01-02 11:54:35.965000160,1.0,0.0
300,2020-01-02 11:54:36.270000170,-1.0,0.0
301,2020-01-02 11:54:57.679000090,1.0,0.0
